mashable,https://mashable.com/
cnnbrk,cnn.com
time,https://time.com/
bbcbreaking,bbc.com
espn,esp.com
gizmodo,gizmodo.com
wired,wired.com
wsj,wsj.com
cnn,cnn.com
nytimes,nytimes.com
foxnews,https://www.foxnews.com/
huffingtonpost,https://www.huffpost.com/
theeconomist,https://www.economist.com/
slate,https://slate.com/
reuters,https://www.reuters.com/
usatoday,https://usatoday.com/
msnbc_breaking,msnbc.com
cbsnews,https://www.cbsnews.com/
latimes,https://www.latimes.com/
nzz,nzz.ch
tagesanzeiger,https://www.tagesanzeiger.ch/
20min,https://www.20min.ch/
bild,bild.de
blickch,blick.ch
